,index,Player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Season,cluster
6,46,Cameron Johnson,23.099999999999998,3.266666666666666,7.733333333333334,0.4246666666666667,1.9333333333333333,5.1000000000000005,0.379,0.8333333333333334,1.0666666666666667,0.7926666666666667,0.6666666666666666,1.4666666666666668,0.6,2.733333333333333,3.2999999999999994,1.3,0.6666666666666666,0.3333333333333333,9.3,2020.0,3
7,49,Cedi Osman,25.76666666666667,3.9333333333333336,9.333333333333334,0.424,2.0,5.433333333333334,0.36533333333333334,1.1333333333333335,1.5,0.7280000000000001,1.2333333333333332,2.033333333333333,0.5,2.766666666666667,3.266666666666666,2.3333333333333335,0.8666666666666667,0.2333333333333333,10.966666666666667,2020.0,3
8,68,Damion Lee,22.96666666666667,3.233333333333333,7.533333333333334,0.439,1.4333333333333333,3.9333333333333336,0.36199999999999993,1.3333333333333333,1.5666666666666667,0.8716666666666667,0.8333333333333334,1.7666666666666668,0.5,3.266666666666667,3.766666666666667,1.7000000000000002,0.7000000000000001,0.10000000000000002,9.299999999999999,2020.0,3
9,71,Daniel Theis,23.833333333333332,3.6,6.766666666666666,0.5326666666666666,0.7333333333333334,2.2666666666666666,0.323,1.1666666666666667,1.633333333333333,0.7286666666666667,1.0,2.8333333333333335,1.5666666666666667,4.066666666666666,5.633333333333333,1.4000000000000001,0.5333333333333333,0.9,9.066666666666666,2020.0,3
10,72,Danilo Gallinari,25.03333333333333,4.266666666666667,9.933333333333334,0.42933333333333334,2.1333333333333333,5.266666666666667,0.4003333333333334,3.1,3.4,0.916,0.8333333333333334,1.4666666666666668,0.43333333333333335,3.9666666666666663,4.433333333333334,1.5999999999999999,0.6,0.16666666666666666,13.800000000000002,2020.0,3
11,73,Danny Green,25.633333333333336,2.966666666666667,6.966666666666666,0.42966666666666664,2.1333333333333333,5.3999999999999995,0.397,0.3666666666666667,0.5,0.8210000000000001,1.0,1.9000000000000001,0.7333333333333334,2.466666666666667,3.1999999999999997,1.3666666666666665,1.3,0.7000000000000001,8.466666666666667,2020.0,3
12,74,Danuel House,30.4,3.7,8.6,0.427,2.0,5.6,0.363,1.2,1.4,0.811,0.9,2.1,0.9,3.3,4.2,1.3,1.1,0.5,10.5,2019.0,3
13,75,Dario Saric,21.049999999999997,3.5,7.5,0.4615,1.1,3.1500000000000004,0.3525,1.65,1.95,0.846,1.2000000000000002,2.15,1.2,3.75,5.0,1.6,0.6,0.15000000000000002,9.7,2019.5,3
14,76,Darius Bazley,25.7,3.4,8.9,0.38133333333333336,1.0999999999999999,3.6666666666666665,0.30333333333333334,1.3666666666666665,2.0,0.6716666666666665,1.4666666666666668,0.9333333333333335,0.7999999999999999,5.133333333333333,5.8999999999999995,1.2666666666666666,0.5666666666666668,0.7999999999999999,9.233333333333334,2020.0,3
15,79,Davion Mitchell,25.6,3.6,9.7,0.373,1.1,4.0,0.281,0.7,1.1,0.654,1.1,2.4,0.7,2.0,2.6,3.4,0.8,0.2,9.1,2021.0,3
16,83,De'Anthony Melton,21.433333333333334,3.2999999999999994,7.966666666666666,0.41566666666666663,1.4000000000000001,3.7999999999999994,0.35333333333333333,1.0,1.3333333333333333,0.7410000000000001,1.4666666666666668,1.6333333333333335,0.7333333333333334,2.9,3.633333333333333,2.6,1.3666666666666665,0.5333333333333333,8.966666666666667,2020.0,3
17,97,Derrick White,28.0,4.25,10.05,0.43100000000000005,1.4,4.300000000000001,0.33199999999999996,2.3,2.75,0.837,1.35,2.2,0.55,2.9,3.45,4.3,0.8500000000000001,0.9,12.25,2020.0,3
18,98,Desmond Bane,25.55,4.8,10.15,0.4715,2.15,5.25,0.41600000000000004,0.8999999999999999,1.0,0.861,1.25,2.15,0.55,3.2,3.75,1.85,0.75,0.30000000000000004,12.65,2020.5,3
19,106,Donte DiVincenzo,25.25,3.65,8.4,0.4375,1.65,4.45,0.35750000000000004,0.9,1.2000000000000002,0.7255,1.4,1.7,1.1,4.15,5.3,2.7,1.2000000000000002,0.25,9.8,2019.5,3
20,107,Dorian Finney-Smith,31.133333333333336,3.5,7.7,0.4573333333333333,1.8333333333333333,4.766666666666667,0.383,0.7333333333333334,1.0999999999999999,0.6793333333333335,0.9,2.3666666666666667,1.7666666666666666,3.4,5.166666666666667,1.6333333333333335,1.0333333333333334,0.4666666666666666,9.566666666666668,2020.0,3
21,108,Doug McDermott,22.2,4.65,9.0,0.51,1.7999999999999998,4.3,0.4115,0.95,1.15,0.822,0.7,1.75,0.65,2.25,2.9,1.2000000000000002,0.25,0.1,11.95,2019.5,3
22,109,Draymond Green,30.85,3.0,5.95,0.505,0.4,1.5,0.29400000000000004,1.2000000000000002,1.75,0.6935,3.05,2.85,1.05,6.55,7.55,8.25,1.5499999999999998,0.9,7.6,2020.5,3
23,112,Dwayne Bacon,25.7,4.1,10.1,0.402,0.8,2.9,0.285,2.0,2.4,0.824,0.6,1.4,0.4,2.7,3.1,1.3,0.6,0.1,10.9,2020.0,3
24,118,Elfrid Payton,23.6,4.3,9.9,0.432,0.4,1.6,0.286,1.2,1.7,0.682,1.6,1.8,1.0,2.4,3.4,3.2,0.7,0.1,10.1,2020.0,3
25,122,Eric Bledsoe,27.766666666666666,4.3999999999999995,10.0,0.43599999999999994,1.2333333333333334,3.8000000000000003,0.3163333333333333,2.1,2.733333333333333,0.7713333333333333,2.0,1.7666666666666668,0.6,3.3666666666666667,4.0,4.2,1.0,0.3666666666666667,12.066666666666665,2020.0,3
26,134,Furkan Korkmaz,21.36666666666667,3.266666666666667,8.066666666666666,0.4036666666666667,1.8,4.966666666666667,0.36433333333333334,1.0333333333333334,1.3333333333333333,0.765,0.8666666666666667,1.1666666666666667,0.26666666666666666,2.1333333333333333,2.433333333333333,1.7333333333333332,0.7333333333333334,0.16666666666666666,9.333333333333334,2020.0,3
27,136,Garrett Temple,24.76666666666667,2.766666666666666,7.033333333333334,0.39366666666666666,1.4000000000000001,4.233333333333333,0.342,0.8666666666666667,1.0999999999999999,0.799,0.9333333333333332,1.9000000000000001,0.5666666666666667,2.466666666666667,3.0666666666666664,1.9333333333333336,0.8666666666666667,0.5333333333333333,7.833333333333333,2020.0,3
28,138,Gary Harris,28.55,3.45,8.3,0.415,1.05,3.5999999999999996,0.30700000000000005,0.95,1.2000000000000002,0.774,1.1,1.9500000000000002,0.6,1.9,2.55,1.9,1.0499999999999998,0.15000000000000002,8.95,2020.0,3
29,141,George Hill,24.4,3.05,6.35,0.479,1.2,3.0,0.394,1.2999999999999998,1.5,0.8855,1.0,1.6,0.8500000000000001,2.45,3.3,2.8,0.8,0.1,8.55,2020.0,3
30,144,Glenn Robinson,28.8,4.6,9.5,0.487,1.2,3.2,0.391,1.2,1.4,0.86,0.9,1.6,1.3,3.0,4.4,1.5,0.9,0.3,11.7,2019.0,3
31,150,Grayson Allen,27.049999999999997,4.05,9.25,0.4345,2.6,6.35,0.40800000000000003,1.4,1.6,0.8734999999999999,0.8,1.5,0.45,3.0,3.45,1.75,0.8,0.25,12.05,2020.5,3
32,153,Hassan Whiteside,22.65,4.6,7.55,0.6025,0.05,0.05,0.2855,1.9,2.8,0.692,1.4,2.95,2.95,7.05,9.95,0.75,0.30000000000000004,2.1,11.1,2020.0,3
33,154,Herb Jones,26.4,2.7,5.8,0.455,0.3,0.9,0.333,0.8,1.0,0.792,1.1,3.1,1.3,1.9,3.2,1.7,1.5,0.8,6.4,2021.0,3
34,155,Immanuel Quickley,20.2,3.4000000000000004,8.6,0.3925,1.75,4.800000000000001,0.368,2.0,2.25,0.91,0.95,1.85,0.45,1.85,2.2,2.2,0.55,0.1,10.55,2020.5,3
35,157,Isaac Okoro,30.6,3.05,7.800000000000001,0.38949999999999996,0.8,3.1500000000000004,0.254,1.5499999999999998,2.0999999999999996,0.7344999999999999,1.2000000000000002,2.55,1.2,2.35,3.5999999999999996,1.85,0.9,0.35,8.45,2020.5,3
36,159,Isaiah Roby,23.4,3.4,7.0,0.483,0.5,1.8,0.294,1.4,1.9,0.744,1.9,2.7,1.5,4.1,5.6,1.8,0.9,0.6,8.7,2020.0,3
37,160,Isaiah Stewart II,23.35,3.3,6.05,0.55,0.15,0.7,0.21200000000000002,0.8500000000000001,1.25,0.696,1.0,2.6,2.4,4.9,7.35,1.0,0.44999999999999996,1.25,7.7,2020.5,3
38,167,Jaden McDaniels,24.55,2.55,6.05,0.4245,0.9,2.9000000000000004,0.316,0.35,0.6,0.618,0.85,3.25,1.2000000000000002,2.8499999999999996,4.050000000000001,0.9500000000000001,0.8,0.8,6.449999999999999,2020.5,3
39,168,Jae Crowder,28.066666666666666,3.3000000000000003,8.333333333333332,0.39733333333333337,2.1666666666666665,5.966666666666666,0.3566666666666667,1.1666666666666667,1.5333333333333332,0.7690000000000001,0.9333333333333335,2.2,0.6,4.5,5.133333333333334,2.0,1.0666666666666667,0.4666666666666666,9.933333333333332,2020.0,3
40,169,Jae'sean Tate,28.7,4.7,9.350000000000001,0.504,0.8,2.75,0.29100000000000004,1.7,2.25,0.738,1.7,3.25,2.0,4.0,5.949999999999999,2.6,1.0,0.6,11.850000000000001,2020.5,3
41,171,Jalen Brunson,23.933333333333334,4.6000000000000005,9.266666666666667,0.49299999999999994,1.0,2.6999999999999997,0.367,1.6000000000000003,1.9666666666666666,0.8000000000000002,1.3,1.5999999999999999,0.43333333333333335,2.733333333333333,3.1999999999999997,3.9,0.5666666666666668,0.03333333333333333,11.766666666666666,2020.0,3
42,183,Jarrett Culver,23.9,3.7,9.0,0.404,1.0,3.5,0.299,0.9,1.9,0.462,1.3,2.0,1.1,2.3,3.4,1.7,0.9,0.6,9.2,2019.0,3
43,188,Jeff Green,23.766666666666666,3.5,7.3999999999999995,0.4756666666666667,1.2,3.3333333333333335,0.35966666666666663,1.8333333333333333,2.3333333333333335,0.7959999999999999,0.9,1.8999999999999997,0.4666666666666666,2.7999999999999994,3.266666666666667,1.2333333333333334,0.43333333333333335,0.43333333333333335,10.066666666666668,2020.0,3
44,197,Joe Ingles,27.400000000000002,3.433333333333333,7.3999999999999995,0.4626666666666667,2.2333333333333334,5.3,0.41900000000000004,0.8000000000000002,1.0,0.84,1.5999999999999999,1.8666666666666665,0.43333333333333335,3.0666666666666664,3.5,4.333333333333333,0.7000000000000001,0.16666666666666666,9.933333333333334,2020.0,3
45,205,Jordan Poole,24.0,4.466666666666667,10.800000000000002,0.4056666666666667,1.9999999999999998,5.966666666666666,0.32766666666666666,2.0000000000000004,2.266666666666666,0.8646666666666668,1.5999999999999999,2.0666666666666664,0.26666666666666666,2.1,2.3666666666666667,2.6,0.7000000000000001,0.20000000000000004,12.9,2020.0,3
46,207,Josh Hart,28.55,3.8,8.3,0.45499999999999996,1.35,3.9000000000000004,0.334,1.7000000000000002,2.1,0.7935,1.2999999999999998,2.65,0.95,5.449999999999999,6.4,2.75,0.95,0.4,10.6,2020.0,3
47,208,Josh Jackson,22.0,3.7,8.9,0.4165,1.0,3.55,0.294,1.85,2.55,0.713,1.7,2.4,0.75,3.05,3.8,1.95,0.7,0.65,10.35,2020.5,3
48,210,Josh Richardson,28.400000000000002,4.366666666666666,9.9,0.4406666666666667,1.3666666666666665,4.033333333333333,0.33666666666666667,1.7,2.0,0.8420000000000001,1.3,2.1999999999999997,0.6999999999999998,2.3333333333333335,3.0666666666666664,2.266666666666667,0.8333333333333334,0.5333333333333333,11.699999999999998,2020.0,3
49,215,Justin Holiday,27.8,3.3333333333333335,8.133333333333333,0.413,2.1999999999999997,5.833333333333333,0.38133333333333336,0.6333333333333333,0.8666666666666667,0.7686666666666667,0.7666666666666667,1.9666666666666668,0.3666666666666667,2.8333333333333335,3.233333333333333,1.5666666666666667,0.9,0.5,9.566666666666666,2020.0,3
50,219,Jusuf Nurkic,24.7,5.1,8.7,0.59,0.2,0.8,0.25,3.0,4.0,0.747,1.9,2.9,2.5,7.7,10.2,2.2,1.1,0.6,13.4,2021.0,3
51,226,Kelly Olynyk,23.633333333333336,4.0,8.566666666666668,0.4683333333333333,1.5333333333333332,4.3,0.363,1.8333333333333333,2.5,0.7629999999999999,1.4666666666666668,2.766666666666667,1.0666666666666667,4.533333333333333,5.633333333333333,2.3,1.0666666666666667,0.5333333333333333,11.4,2020.0,3
52,232,Kentavious Caldwell-Pope,27.633333333333336,3.5666666666666664,8.033333333333333,0.44333333333333336,1.7333333333333334,4.366666666666667,0.3993333333333333,1.3,1.5666666666666667,0.8453333333333334,1.0333333333333334,1.8333333333333333,0.5333333333333333,2.2666666666666666,2.8000000000000003,1.7333333333333332,1.0,0.3,10.133333333333335,2020.0,3
53,237,"Kevin Porter, Jr.",26.7,4.050000000000001,10.3,0.4,1.4500000000000002,4.5,0.322,1.9,2.85,0.6759999999999999,2.95,2.5,0.6000000000000001,3.2,3.8000000000000003,4.0,1.1,0.3,11.4,2020.0,3
54,241,Killian Hayes,26.0,2.2,6.6,0.336,1.1,3.0,0.352,0.9,0.9,0.941,1.7,2.8,0.7,3.0,3.7,3.7,1.3,0.4,6.4,2021.0,3
55,243,Kris Dunn,24.9,3.0,6.7,0.444,0.6,2.2,0.259,0.8,1.1,0.741,1.3,3.1,0.5,3.2,3.6,3.4,2.0,0.3,7.3,2019.0,3
56,245,Kyle Anderson,22.933333333333334,3.2999999999999994,7.233333333333334,0.457,0.8999999999999999,2.4999999999999996,0.334,1.2,1.5999999999999999,0.7463333333333333,1.0666666666666667,1.5999999999999999,0.9333333333333335,4.166666666666667,5.066666666666666,2.8000000000000003,0.9666666666666668,0.6333333333333333,8.700000000000001,2020.0,3
57,252,Landry Shamet,23.399999999999995,2.8000000000000003,7.133333333333333,0.3960000000000001,2.0,5.2,0.38866666666666666,1.1333333333333335,1.3333333333333333,0.8446666666666666,0.7000000000000001,1.7666666666666668,0.16666666666666666,1.9333333333333333,2.0666666666666664,1.7333333333333332,0.4000000000000001,0.16666666666666666,8.8,2020.0,3
58,253,Langston Galloway,25.8,3.6,8.2,0.435,2.0,5.0,0.399,1.1,1.3,0.859,0.6,1.5,0.5,1.8,2.3,1.5,0.7,0.2,10.3,2019.0,3
59,254,"Larry Nance, Jr.",23.3,3.3,6.2,0.5345,0.75,2.2,0.32999999999999996,0.8,1.25,0.6485000000000001,0.9500000000000001,1.5,1.65,4.45,6.1,1.8,0.95,0.4,8.15,2020.0,3
60,257,Lonnie Walker,21.266666666666666,3.466666666666667,8.633333333333333,0.40499999999999997,1.3,3.8666666666666667,0.34900000000000003,0.9333333333333332,1.2,0.7843333333333332,1.0333333333333334,1.4333333333333333,0.23333333333333336,2.3333333333333335,2.6,1.7666666666666668,0.5666666666666667,0.2333333333333333,9.166666666666666,2020.0,3
61,259,Lou Williams,21.266666666666666,4.1000000000000005,10.066666666666668,0.4026666666666667,1.1333333333333333,3.0666666666666664,0.3706666666666667,2.6333333333333333,3.0333333333333337,0.858,1.7666666666666666,1.0,0.3666666666666667,1.8333333333333333,2.1999999999999997,3.4333333333333336,0.6666666666666666,0.13333333333333333,11.933333333333332,2020.0,3
62,262,Luke Kennard,23.8,3.45,7.6499999999999995,0.4535,2.05,4.75,0.4375,0.5,0.55,0.8885,0.8,1.45,0.2,2.75,3.0,1.75,0.6000000000000001,0.1,9.45,2020.5,3
63,265,Malik Beasley,23.85,4.0,10.3,0.39049999999999996,2.3,6.55,0.36150000000000004,0.85,1.05,0.7725,0.8,1.2999999999999998,0.35,2.55,2.9000000000000004,1.45,0.6499999999999999,0.15000000000000002,11.149999999999999,2020.0,3
64,266,Malik Monk,22.8,3.9,8.600000000000001,0.45,1.4500000000000002,4.25,0.3295,1.15,1.35,0.823,1.35,1.4,0.45,2.3,2.75,2.1500000000000004,0.6,0.25,10.3,2020.0,3
65,272,Markelle Fultz,27.7,5.0,10.7,0.465,0.5,1.9,0.267,1.6,2.2,0.73,2.0,2.0,0.6,2.7,3.3,5.1,1.2,0.2,12.1,2019.0,3
66,276,Mason Plumlee,23.400000000000002,3.3666666666666667,5.5,0.6083333333333333,0.0,0.06666666666666667,0.0,1.4333333333333333,2.6999999999999997,0.5166666666666667,1.4666666666666666,2.8666666666666667,2.233333333333333,5.0,7.233333333333333,2.966666666666667,0.7000000000000001,0.8333333333333334,8.133333333333333,2020.0,3
67,282,Maxi Kleber,26.15,2.75,6.2,0.4415,1.65,4.25,0.39149999999999996,0.9,1.0,0.884,0.7,2.25,1.2,4.0,5.2,1.2999999999999998,0.4,0.9,8.1,2019.5,3
68,285,"Michael Porter, Jr.",25.7,4.966666666666666,10.6,0.47000000000000003,1.6666666666666667,4.766666666666667,0.35833333333333334,1.1333333333333333,1.5,0.7266666666666666,1.1666666666666667,1.9000000000000001,1.2333333333333334,4.966666666666666,6.199999999999999,1.2666666666666666,0.7666666666666666,0.5333333333333333,12.733333333333334,2020.0,3
69,291,Mitchell Robinson,24.25,3.5,4.699999999999999,0.746,0.0,0.0,0.0,1.35,2.3,0.5885,0.6,2.95,3.15,4.35,7.5,0.6499999999999999,0.7,1.9,8.35,2020.0,3
70,295,Monte Morris,25.866666666666664,4.3,8.966666666666667,0.474,1.1,3.0666666666666664,0.36533333333333334,0.8333333333333334,1.0666666666666667,0.746,0.9,1.2,0.26666666666666666,1.9000000000000001,2.1999999999999997,3.6666666666666665,0.7333333333333334,0.20000000000000004,10.433333333333332,2020.0,3
71,306,Nicolas Batum,27.5,3.25,6.5,0.49250000000000005,1.95,4.65,0.42100000000000004,0.55,0.8,0.6639999999999999,0.8,1.35,0.6,4.5,5.1,1.85,1.05,0.7,8.95,2020.5,3
72,317,P.J. Tucker,29.266666666666666,2.1,4.8,0.4266666666666667,1.0999999999999999,2.9666666666666663,0.37033333333333335,0.43333333333333335,0.5666666666666667,0.8026666666666668,0.8666666666666667,2.7000000000000006,1.4000000000000001,3.933333333333333,5.3,1.5,0.8666666666666667,0.39999999999999997,5.7,2020.0,3
73,320,Pat Connaughton,23.400000000000002,2.9333333333333336,6.3,0.4623333333333333,1.7,4.266666666666667,0.377,0.5666666666666668,0.7333333333333334,0.77,0.7000000000000001,1.2666666666666666,0.8666666666666667,3.733333333333333,4.6000000000000005,1.3999999999999997,0.6666666666666666,0.3666666666666667,8.166666666666666,2020.0,3
74,321,Patrick Beverley,24.733333333333334,2.8333333333333335,6.433333333333334,0.43733333333333335,1.4333333333333336,3.766666666666667,0.3746666666666667,0.7999999999999999,1.0666666666666667,0.722,1.1333333333333335,3.033333333333333,1.1,3.133333333333333,4.266666666666667,3.4,0.9333333333333335,0.7666666666666666,7.833333333333333,2020.0,3
75,323,Patrick Williams,26.4,3.1,6.0,0.524,0.7,1.5499999999999998,0.4455,1.05,1.3,0.864,0.8999999999999999,1.8,0.55,2.85,3.4,1.0,0.75,0.5,7.8999999999999995,2020.5,3
76,324,Patty Mills,25.3,4.033333333333333,9.266666666666666,0.434,2.6,6.366666666666667,0.40666666666666673,1.0,1.1333333333333335,0.9016666666666667,0.8666666666666667,1.3666666666666665,0.26666666666666666,1.4000000000000001,1.7,2.1999999999999997,0.6666666666666666,0.10000000000000002,11.633333333333333,2020.0,3
77,334,Reggie Bullock,26.7,2.95,7.35,0.3915,1.8,5.25,0.33399999999999996,0.5,0.6000000000000001,0.767,0.6499999999999999,1.8,0.2,2.85,3.05,1.05,0.55,0.15000000000000002,8.2,2020.5,3
78,338,Robert Covington,29.666666666666668,3.233333333333333,7.933333333333334,0.4056666666666667,1.9333333333333333,5.533333333333334,0.35400000000000004,0.7333333333333333,0.9333333333333332,0.868,1.1666666666666667,2.6666666666666665,0.7666666666666666,5.199999999999999,5.966666666666666,1.4000000000000001,1.3333333333333333,1.1666666666666667,9.166666666666666,2020.0,3
79,339,Robert Williams,23.6,3.8499999999999996,5.25,0.734,0.0,0.0,0.0,1.0,1.5499999999999998,0.6305000000000001,1.0,1.8,3.1,4.55,7.65,1.5,0.8,1.8,8.65,2020.5,3
80,346,Royce O'Neale,30.633333333333336,2.5333333333333337,5.533333333333334,0.45366666666666666,1.4666666666666668,3.8000000000000003,0.38433333333333336,0.5666666666666668,0.7333333333333334,0.7726666666666665,1.0999999999999999,2.566666666666667,0.8666666666666667,4.8999999999999995,5.766666666666667,2.4,1.0333333333333332,0.5666666666666667,7.1000000000000005,2020.0,3
81,347,Rudy Gay,21.65,4.1,9.45,0.433,1.4,3.85,0.35850000000000004,1.55,1.8,0.843,1.15,1.65,0.8,4.3,5.1,1.5499999999999998,0.6,0.55,11.100000000000001,2019.5,3
82,358,Shabazz Napier,24.0,3.4,8.1,0.412,1.4,4.3,0.317,2.2,2.7,0.824,2.3,1.8,0.5,2.4,2.8,4.7,1.2,0.2,10.3,2019.0,3
83,360,Shake Milton,24.35,4.699999999999999,10.25,0.4565,1.05,3.1500000000000004,0.33899999999999997,1.95,2.3,0.856,1.35,2.0,0.5,2.15,2.7,3.0,0.6499999999999999,0.35,12.35,2020.5,3
84,366,Steven Adams,26.366666666666664,3.466666666666667,5.966666666666666,0.577,0.0,0.03333333333333333,0.111,1.5999999999999999,2.7999999999999994,0.5609999999999999,1.4333333333333333,1.8666666666666665,3.6,5.333333333333333,8.9,2.3,0.8333333333333334,0.8666666666666667,8.566666666666668,2020.0,3
85,368,T.J. McConnell,22.96666666666667,3.6,6.8,0.526,0.19999999999999998,0.6333333333333333,0.2953333333333334,0.5,0.6333333333333333,0.7736666666666666,1.5333333333333332,1.4666666666666668,0.7000000000000001,2.5,3.233333333333333,5.466666666666666,1.2333333333333334,0.3,7.833333333333333,2020.0,3
86,372,Taurean Prince,22.2,2.9,7.75,0.368,1.5499999999999998,4.75,0.30900000000000005,0.8,1.1,0.752,1.25,2.0,0.65,3.35,4.0,1.3,0.7,0.30000000000000004,8.15,2020.0,3
87,376,Terrence Ross,25.95,4.2,10.55,0.3975,1.9500000000000002,5.9,0.3235,2.0,2.4000000000000004,0.8265,1.25,1.4,0.2,2.45,2.7,1.6,0.8,0.25,12.3,2020.0,3
88,378,Thaddeus Young,21.433333333333334,4.266666666666667,8.166666666666666,0.5299999999999999,0.4666666666666666,1.4666666666666668,0.20766666666666667,0.6999999999999998,1.2,0.5496666666666666,1.6000000000000003,1.9000000000000001,1.8333333333333333,3.1333333333333333,4.866666666666666,2.9000000000000004,1.1666666666666667,0.4333333333333333,9.700000000000001,2020.0,3
89,380,Theo Maledon,27.4,3.5,9.4,0.368,1.6,4.8,0.335,1.6,2.1,0.748,2.2,1.9,0.4,2.9,3.2,3.5,0.9,0.2,10.1,2020.0,3
90,393,Trevor Ariza,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,1.4,0.838,1.1,2.1,0.6,4.0,4.6,1.7,1.3,0.3,8.0,2019.0,3
91,397,Tristan Thompson,27.0,4.1,7.95,0.515,0.1,0.25,0.1955,1.5,2.5,0.6034999999999999,1.4500000000000002,2.2,3.55,5.6,9.1,1.65,0.5,0.75,9.8,2019.5,3
92,398,"Troy Brown, Jr.",25.8,4.0,9.0,0.439,0.9,2.6,0.341,1.6,2.0,0.784,1.1,1.9,1.1,4.4,5.6,2.6,1.2,0.1,10.4,2019.0,3
93,403,Tyrese Maxey,25.35,4.800000000000001,10.4,0.4635,0.8,2.4,0.33099999999999996,2.1,2.35,0.8815,0.95,1.85,0.30000000000000004,2.45,2.75,3.45,0.55,0.4,12.6,2020.5,3
94,406,"Wendell Carter, Jr.",27.2,4.699999999999999,9.2,0.5095000000000001,0.85,2.4,0.3255,1.95,2.75,0.718,1.35,2.6500000000000004,2.25,6.8,9.05,2.05,0.6499999999999999,0.7,12.2,2020.5,3
0,1,Aaron Holiday,19.933333333333334,2.8333333333333335,6.833333333333333,0.41533333333333333,0.9333333333333332,2.533333333333333,0.371,0.8666666666666667,1.0999999999999999,0.8116666666666666,1.1333333333333335,1.5999999999999999,0.2333333333333333,1.5,1.7666666666666668,2.433333333333333,0.6999999999999998,0.2333333333333333,7.5,2020.0,0
1,7,Alex Caruso,22.666666666666668,2.3333333333333335,5.3999999999999995,0.43,0.8333333333333334,2.4333333333333336,0.35566666666666663,1.2333333333333334,1.6333333333333335,0.7453333333333333,1.2,2.033333333333333,0.6,2.3,2.8333333333333335,2.933333333333333,1.4666666666666668,0.3333333333333333,6.8,2020.0,0
2,8,Alex Len,16.450000000000003,2.95,5.05,0.585,0.2,0.75,0.2955,1.15,1.85,0.6385000000000001,0.95,2.15,1.5,3.4,4.949999999999999,0.8500000000000001,0.35,0.95,7.3,2019.5,0
3,9,Alperen Sengun,18.0,2.9,5.9,0.488,0.5,1.2,0.37,2.5,3.5,0.701,1.8,3.0,1.4,3.1,4.5,2.6,1.1,0.6,8.6,2021.0,0
4,12,Andre Iguodala,21.0,1.5,3.75,0.401,0.7,2.4,0.2735,0.35,0.55,0.6625000000000001,0.9500000000000001,1.2,0.6499999999999999,2.8499999999999996,3.5,3.05,0.8500000000000001,0.7,4.1,2020.5,0
5,14,Anfernee Simons,20.333333333333332,3.4,7.966666666666666,0.4256666666666667,1.6666666666666667,4.333333333333333,0.37966666666666665,0.8666666666666667,1.0333333333333334,0.86,0.9,1.6666666666666667,0.3666666666666667,1.9666666666666666,2.3333333333333335,1.6666666666666667,0.4000000000000001,0.13333333333333333,9.366666666666667,2020.0,0
